ï»¿ASC_Name;Provider_id;NPI;City;State;Zip_Code;Year;ASC_1_Measure_Rate;ASC_1_Footnote;ASC_2_Measure_Rate;ASC_2_Footnote;ASC_3_Measure_Rate;ASC_3_Footnote;ASC_4_Measure_Rate;ASC_4_Footnote;ASC_5_Measure_Rate;ASC_5_Footnote;ASC_1_5_Encounter_Start_Date;ASC_1_5_Encounter_End_Date;ASC_6_SSChecklist;ASC_6_Footnote;ASC_7_Volume;ASC_7_Respiratory;ASC_7_Eye;ASC_7_Genitourinary;ASC_7_Musculoskeletal;ASC_7_Gastrointestinal;ASC_7_Nervous_System;ASC_7_Skin;ASC_7_Footnote;ASC_6_7_Encounter_Start_Date;ASC_6_7_Encounter_End_Date;ASC_8_rate;ASC_8_Footnote;ASC_8_Encounter_Date;ASC_9_rate;ASC_9_Footnote;ASC_10_rate;ASC_10_Footnote;ASC_9_10_Encounter_Start_Date;ASC_9_10_Encounter_End_Date;ASC_11_rate;ASC_11_Footnote;ASC_11_Encounter_Start_Date;ASC_11_Encounter_End_Date;ASC_12_Total_Cases;ASC_12_Performance_Category;ASC_12_Interval_Lower_Limit;ASC_12_Interval_Upper_Limit;ASC_12_Footnote;ASC_12_Encounter_Start_Date;ASC_12_Encounter_End_Date;ASC_12_RSHV_Rate
Mid Dakota Clinic Surgicenter;35C0001023;1366484404;Bismarck;ND;58501;2016;1.502;;0.000;;0.000;;0.000;;990.38;;01/01/16;12/31/2016;Yes;;8,287;817;12;12;511;6,423;119;393;;01/01/16;12/31/2016;89.22;;2016/2017;84.97;;86.76;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;497;No Different than the National Rate;9.8;18.6;;01/01/16;12/31/2016;13.5
Webster Surgery Center;05C0001450;1366485385;Oakland;CA;94609;2016;0.000;;0.000;;0.000;;0.000;;948.45;;01/01/16;12/31/2016;Yes;;799;10;0;0;534;0;202;53;;01/01/16;12/31/2016;77.67;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Sheboygan Medical Center, LLC;52C0001062;1366487241;Sheboygan;WI;53081;2016;0.000;;0.935;;0.000;;0.935;;1,000.00;;01/01/16;12/31/2016;Yes;;816;0;0;0;0;0;816;0;;01/01/16;12/31/2016;65.38;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Virginia Surgery Center;49C0001042;1366496143;Norfolk;VA;23502;2016;0.465;;0.000;;0.000;;0.000;;0.00;1;01/01/16;12/31/2016;Yes;;5,64;0;5,091;0;0;0;0;549;;01/01/16;12/31/2016;74.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Valley Pain Center, LLC;39C0001157;1366498115;Huntingdon Valley;PA;19006;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;3,367;0;0;0;0;0;3,367;0;;01/01/16;12/31/2016;81.82;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Minimally Invasive Surgery Center, P.A.;31C0001127;1366498347;Linwood;NJ;8221;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;2,033;0;0;0;2,033;0;0;0;;01/01/16;12/31/2016;N/A;1;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Tampa Bay Center for Specialized Surgery;10C0001072;1366499923;Tampa;FL;33607;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Riverside Ambulatory Surgery Center;26C0001097;1366515504;Hazelwood;MO;63042;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;3,292;0;0;0;0;3,292;0;0;;01/01/16;12/31/2016;N/A;5;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;367;No Different than the National Rate;8.5;16.4;;01/01/16;12/31/2016;11.9
Medical Ambulatory Surgical Suites dba Kirby Surgical Center;45C0001382;1366521643;Houston;TX;77054;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;7,271;120;0;0;413;23;6,709;6;;01/01/16;12/31/2016;91.04;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Tallahassee Outpatient Surgery Center at Capital Medical Commons;10C0001411;1366524126;Tallahassee;FL;32308;2016;0.000;;0.000;;0.000;;0.000;;750.00;1;01/01/16;12/31/2016;Yes;;4,217;0;8;0;3,546;0;657;6;;01/01/16;12/31/2016;59.09;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Northwest Gastroenterology Clinic, LLC;38C0001046;1366529638;Portland;OR;97210;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;8,433;0;0;0;0;8,433;0;0;;01/01/16;12/31/2016;98.04;;2016/2017;93.33;;53.37;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;577;No Different than the National Rate;8.5;16.4;;01/01/16;12/31/2016;11.9
Southwest Regional Surgery Center;50C0001196;1366536880;Vancouver;WA;98664;2016;0.000;;0.000;;0.000;;3.456;;998.19;;01/01/16;12/31/2016;Yes;;4,921;9;13;0;2,629;1,579;668;23;;01/01/16;12/31/2016;81.95;;2016/2017;100.00;;96.83;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;141;No Different than the National Rate;9.5;18.5;;01/01/16;12/31/2016;13.3
Southwest Florida Institute of Ambulatory Surgery;10C0001020;1366549511;Ft. Myers;FL;33901;2016;0.000;;0.000;;0.000;;0.000;;972.97;;01/01/16;12/31/2016;Yes;;1,974;3;0;16;301;0;11;1,643;;01/01/16;12/31/2016;47.37;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;1;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
The Surgicare Center of Utah, Inc.;46C0001006;1366550170;Salt Lake City;UT;84107;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;3,148;0;3,118;0;0;0;0;30;;01/01/16;12/31/2016;71.19;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Harvard Park Surgery Center;06C0001110;1366559122;Denver;CO;80210;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;5,193;516;4,267;0;4;26;0;380;;01/01/16;12/31/2016;98.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
New Millennium Surgery Center;23C0001075;1366574410;Southfield;MI;48034;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;2,855;0;1,918;0;0;0;0;937;;01/01/16;12/31/2016;93.55;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Island Surgery Center;11C0001264;1366620114;St. Simons Island;GA;31522;2016;0.000;1;0.000;1;0.000;1;0.000;1;1,000.00;1;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Coastal Eye Surgery Center, LLC;20C0001020;1366620726;Ellsworth;ME;4605;2016;0.631;;0.000;;0.000;;0.631;;500.00;1;01/01/16;12/31/2016;Yes;;1,817;0;1,817;0;0;0;0;0;;01/01/16;12/31/2016;72.73;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Jervey Eye Center, LLC;42C0001027;1366625485;Greenville;SC;29605;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;93.55;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Cerritos Endoscopic Medical Center;05C0001451;1366633257;Cerritos;CA;90703;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;2,679;0;0;0;0;2,679;0;0;;01/01/16;12/31/2016;N/A;1;2016/2017;98.96;;99.17;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;96;No Different than the National Rate;8.5;16.7;;01/01/16;12/31/2016;11.9
Gastrointestinal Associates and Endoscopy Center;25C0001065;1366634669;Vicksburg;MS;39180;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;678;0;0;0;0;678;0;0;;01/01/16;12/31/2016;88.89;;2016/2017;89.14;;1.22;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;428;No Different than the National Rate;9.6;18.1;;01/01/16;12/31/2016;13.3
Apple Surgery Center, Inc;05C0001864;1366635609;Bakersfield;CA;93312;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;75;No Different than the National Rate;8.8;17.5;;01/01/16;12/31/2016;12.5
Meridian Center for Surgical Excellence, LLC;38C0001088;1366638843;Tualatin;OR;97062;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Specialty Surgical Center of Thousand Oaks;05C0001849;1366643751;Westlake Village;CA;91361;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;4,552;0;745;0;1,325;1,721;724;37;;01/01/16;12/31/2016;36.00;;2016/2017;41.00;;56.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;490;No Different than the National Rate;7.7;14.9;;01/01/16;12/31/2016;10.7
North Pointe Surgery Center;39C0001252;1366647968;Lancaster;PA;17601;2016;0.000;;0.000;;0.000;;6.926;;899.19;;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;86.90;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Miami Valley Ambulatory Surgery Center, LTD;36C0001079;1366651242;Dayton;OH;45432;2016;0.000;;0.000;;0.000;;0.000;;0.00;1;01/01/16;12/31/2016;Yes;;893;0;132;0;0;0;761;0;;01/01/16;12/31/2016;N/A;1;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Salina Surgical Arts Center;17C0001085;1366681355;Salina;KS;67401;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Prince Frederick Surgery Center;21C0001502;1366684326;Prince Frederick;MD;20678;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;1,18;0;2;0;677;1;499;1;;01/01/16;12/31/2016;61.29;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Largo Ambulatory Surgery Center;10C0001385;1366710741;Largo;FL;33770;2016;0.000;;0.000;;0.000;;0.000;;991.27;;01/01/16;12/31/2016;Yes;;8,571;0;8,571;0;0;0;0;0;;01/01/16;12/31/2016;69.23;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Advanced Spine Surgery Center, LLC;31C0001289;1366757080;Union;NJ;7083;2016;0.000;;0.000;;0.000;;0.000;;380.95;;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;80.70;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Medina-Summit Ambulatory Surgery Center;36C0001263;1366761397;Medina;OH;44256;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,664;0;1,442;31;0;191;0;0;;01/01/16;12/31/2016;64.71;;2016/2017;80.95;;35.40;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;Number of Cases Too Small;N/A;N/A;1;01/01/16;12/31/2016;N/A
Memorial Hermann Surgery Center-Richmond;45C0001421;1366776106;Richmond;TX;77469;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;1,174;0;0;0;856;0;316;2;;01/01/16;12/31/2016;95.56;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Upstate Gastroenterology, LLC;33C0001129;1366799033;Syracuse;NY;13210;2016;2.882;23;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,95;0;0;0;0;1,95;0;0;;01/01/16;12/31/2016;100.00;;2016/2017;81.48;;20.28;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;101;No Different than the National Rate;9.0;17.5;;01/01/16;12/31/2016;12.4
Great South Bay Endoscopy;33C0001144;1366864514;East Patchogue;NY;11772;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;5,351;0;0;0;0;5,351;0;0;;01/01/16;12/31/2016;86.21;;2016/2017;79.91;;81.99;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;550;No Different than the National Rate;8.5;15.8;;01/01/16;12/31/2016;11.6
Chesapeake Surgical Services, LLC;21C0001537;1366869752;Elkton;MD;21921;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;Number of Cases Too Small;N/A;N/A;1;01/01/16;12/31/2016;N/A
Banner Estrella Surgery Center;03C0001284;1366873515;Phoenix;AZ;85037;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;95.19;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;Number of Cases Too Small;N/A;N/A;1;01/01/16;12/31/2016;N/A
Innovations Surgery Center;21C0001553;1366884322;Rockville;MD;20852;2016;0.000;1;0.000;1;0.000;1;0.000;1;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Vincera Surgery Center;39C0001306;1366886913;Philadelphia;PA;19112;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;62.50;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
South Central Surgical Center;24C0001029;1376501064;Fairmont;MN;56031;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;1,297;0;118;0;930;104;0;145;;01/01/16;12/31/2016;56.00;;2016/2017;N/A;1;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;Number of Cases Too Small;N/A;N/A;1;01/01/16;12/31/2016;N/A
Columbia Eye and Specialty Surgery Center, LTD;10C0001055;1376507194;Tampa;FL;33607;2016;0.000;;0.000;;0.000;;0.000;;0.00;1;01/01/16;12/31/2016;Yes;;3,91;0;3,789;0;0;0;0;121;;01/01/16;12/31/2016;80.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Midvalley Ambulatory Surgery CTR;06C0001047;1376507780;Basalt;CO;81621;2016;0.000;1;0.000;1;0.000;1;0.000;1;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;88.64;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;63;No Different than the National Rate;9.0;18.1;;01/01/16;12/31/2016;12.7
Eastern Pennsylvania Endoscopy Center;39C0001120;1376511857;Allentown;PA;18104;2016;0.000;;0.624;;0.000;;1.247;;1,000.00;1;01/01/16;12/31/2016;Yes;;6,225;0;0;0;0;6,225;0;0;;01/01/16;12/31/2016;100.00;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;778;No Different than the National Rate;9.4;17.1;;01/01/16;12/31/2016;12.7
Florida Eye Clinic Ambulatory Surg;10C0001011;1376513440;Altamonte;FL;32701;2016;1.111;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;7,047;0;7,047;0;0;0;0;0;;01/01/16;12/31/2016;76.32;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
The Orlando Fl Endoscopy ASC, LLC;10C0001414;1376518357;Orlando;FL;32806;2016;0.000;;0.000;;0.000;;0.720;;N/A;5;01/01/16;12/31/2016;Yes;;7,554;0;0;0;0;7,554;0;0;;01/01/16;12/31/2016;78.57;;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;735;No Different than the National Rate;9.6;17.7;;01/01/16;12/31/2016;13.1
Jefferson Pain and Rehabilitation Center;39C0001310;1376526780;Pittsburgh;PA;15236;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;N/A;N/A;N/A;N/A;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;69.23;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Bergen-Passaic Cataract Surgery and Laser Center, Inc;31C0001023;1376536417;Fair Lawn;NJ;7410;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;6,146;0;6,146;0;0;0;0;0;;01/01/16;12/31/2016;N/A;5;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Bend Surgery Center;38C0001027;1376536482;Bend;OR;97701;2016;0.000;;0.000;;0.000;;0.694;;1,000.00;;01/01/16;12/31/2016;Yes;;10,93;176;2,108;70;1,28;6,172;631;493;;01/01/16;12/31/2016;91.81;;2016/2017;98.97;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1073;No Different than the National Rate;10.7;19.2;;01/01/16;12/31/2016;14.4
Endoscopy Center of Bristol;44C0001106;1376538876;Bristol;TN;37620;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;8,527;0;0;0;0;8,527;0;0;;01/01/16;12/31/2016;70.83;;2016/2017;81.91;;82.87;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;784;No Different than the National Rate;9.7;17.9;;01/01/16;12/31/2016;13.1
Dehaven Surgical Center;45C0001013;1376540096;Tyler;TX;75702;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;3,63;0;3,63;0;0;0;0;0;;01/01/16;12/31/2016;75.86;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Frederick Surgical Center;21C0001039;1376542076;Frederick;MD;21701;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;7,524;85;2,158;82;986;3,806;391;16;;01/01/16;12/31/2016;88.24;;2016/2017;80.85;;85.83;;01/01/16;12/31/2016;98.27;;01/01/16;12/31/2016;203;No Different than the National Rate;9.3;18.4;;01/01/16;12/31/2016;12.9
Dulaney Eye Institute;21C0001161;1376546721;Towson;MD;21208;2016;1.610;;0.000;;0.000;;0.323;;0.00;;01/01/16;12/31/2016;Yes;;6,595;0;6,595;0;0;0;0;0;;01/01/16;12/31/2016;73.56;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Cape Coral Eye Surgery Center PA;10C0001071;1376553925;Cape Coral;FL;33904;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;2,117;0;2,117;0;0;0;0;0;;01/01/16;12/31/2016;60.87;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Eye Care Specialists Laser and Surgery Center;50C0001153;1376556514;Clarkston;WA;99403;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,032;0;1,008;0;0;0;0;24;;01/01/16;12/31/2016;90.48;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Specialty Surgical Center - Wilshire;05C0001638;1376558965;Bbeverly Hills;CA;90211;2016;0.000;;0.000;;0.000;;0.817;;992.25;;01/01/16;12/31/2016;Yes;;5,763;304;11;31;569;4,307;151;390;;01/01/16;12/31/2016;51.59;;2016/2017;88.24;;77.78;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1120;No Different than the National Rate;8.3;14.5;;01/01/16;12/31/2016;11.1
Rochester Endoscopy and Surgery Center;23C0001057;1376574814;Rochester Hills;MI;48307;2016;0.000;;0.000;;0.000;;0.000;;0.00;1;01/01/16;12/31/2016;Yes;;9,475;0;0;0;0;9,475;0;0;;01/01/16;12/31/2016;79.66;;2016/2017;92.71;;93.75;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1291;No Different than the National Rate;9.3;15.8;;01/01/16;12/31/2016;12.1
Same Day Surgery Center;10C0001501;1376580498;Zephyrhills;FL;33542;2016;0.000;;0.000;;0.000;;0.000;;N/A;5;01/01/16;12/31/2016;Yes;;1,118;0;1,085;0;0;0;0;33;;01/01/16;12/31/2016;77.78;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Northern GI Endoscopy Center;33C0001161;1376583641;Glens Falls;NY;12801;2016;N/A;5;N/A;5;N/A;5;N/A;5;N/A;5;01/01/16;12/31/2016;Yes;;3,599;0;0;0;0;3,599;0;0;;01/01/16;12/31/2016;N/A;5;2016/2017;100.00;;100.00;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
Central Park Surgery Center;45C0001437;1376591156;Arlington;TX;76014;2016;0.000;;0.000;;0.000;;0.000;;882.35;;01/01/16;12/31/2016;Yes;;2,171;1,197;42;0;20;912;0;0;;01/01/16;12/31/2016;100.00;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;98;No Different than the National Rate;8.5;16.9;;01/01/16;12/31/2016;12.0
Sutter Roseville Endoscopy Center;05C0001712;1376592014;Roseville;CA;95661;2016;0.000;;0.491;;0.000;;0.000;;1,000.00;1;01/01/16;12/31/2016;Yes;;8,101;0;0;0;0;8,101;0;0;;01/01/16;12/31/2016;96.00;;2016/2017;80.72;;13.21;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;1313;No Different than the National Rate;10.1;17.5;;01/01/16;12/31/2016;13.1
Palmetto Endoscopy Center, LLC;42C0001056;1376592204;Charleston;SC;29414;2016;0.000;;0.725;;0.000;;2.171;;0.00;1;01/01/16;12/31/2016;Yes;;5,583;0;0;0;0;5,583;0;0;;01/01/16;12/31/2016;94.44;;2016/2017;90.95;;88.35;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;789;No Different than the National Rate;9.2;16.9;;01/01/16;12/31/2016;12.7
Otay Lakes Surgery Center;05C0001779;1376595421;Chula Vista;CA;91914;2016;0.000;;0.000;;0.000;;0.000;;1,000.00;;01/01/16;12/31/2016;Yes;;2,208;3;375;0;897;588;326;19;;01/01/16;12/31/2016;71.43;;2016/2017;72.00;;74.24;;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;35;No Different than the National Rate;8.9;18.6;;01/01/16;12/31/2016;12.8
Eyecare Medical Group;20C0001002;1376599381;Portland;ME;4102;2016;0.355;;0.000;;0.000;;0.355;;N/A;5;01/01/16;12/31/2016;Yes;;6,929;0;6,929;0;0;0;0;0;;01/01/16;12/31/2016;73.81;;2016/2017;N/A;5;N/A;5;01/01/16;12/31/2016;N/A;5;01/01/16;12/31/2016;N/A;N/A;N/A;N/A;5;01/01/16;12/31/2016;N/A
